date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:10:44	19625/19625	---M-Z	200	added ('OK')	text/html	etag:W/%2263b297f5-4ca9%22	https://prium.github.io/twbs-sparrow/v2.1.1/pages/signup.html	F:/coding/web_programming/back_end/xampp/htdocs/signup%20sparrow/prium.github.io/twbs-sparrow/v2.1.1/pages/signup.html	(from )
17:10:44	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2263cf03be-239b%22	https://prium.github.io/robots.txt		(from )
17:10:45	3568/3568	---M--	200	added ('OK')	image/png	etag:%2263b297f5-df0%22	https://prium.github.io/twbs-sparrow/v2.1.1/assets/img/favicons/apple-touch-icon.png	F:/coding/web_programming/back_end/xampp/htdocs/signup%20sparrow/prium.github.io/twbs-sparrow/v2.1.1/assets/img/favicons/apple-touch-icon.png	(from https://prium.github.io/twbs-sparrow/v2.1.1/pages/signup.html)
17:10:45	834/834	---M--	200	added ('OK')	image/png	etag:%2263b297f5-342%22	https://prium.github.io/twbs-sparrow/v2.1.1/assets/img/favicons/favicon-32x32.png	F:/coding/web_programming/back_end/xampp/htdocs/signup%20sparrow/prium.github.io/twbs-sparrow/v2.1.1/assets/img/favicons/favicon-32x32.png	(from https://prium.github.io/twbs-sparrow/v2.1.1/pages/signup.html)
17:10:45	600/600	---M--	200	added ('OK')	image/png	etag:%2263b297f5-258%22	https://prium.github.io/twbs-sparrow/v2.1.1/assets/img/favicons/favicon-16x16.png	F:/coding/web_programming/back_end/xampp/htdocs/signup%20sparrow/prium.github.io/twbs-sparrow/v2.1.1/assets/img/favicons/favicon-16x16.png	(from https://prium.github.io/twbs-sparrow/v2.1.1/pages/signup.html)
17:10:45	2894/2894	---M--	200	added ('OK')	image/png	etag:%2263b297f5-b4e%22	https://prium.github.io/twbs-sparrow/v2.1.1/assets/img/favicons/mstile-150x150.png	F:/coding/web_programming/back_end/xampp/htdocs/signup%20sparrow/prium.github.io/twbs-sparrow/v2.1.1/assets/img/favicons/mstile-150x150.png	(from https://prium.github.io/twbs-sparrow/v2.1.1/pages/signup.html)
17:10:45	41406/41406	---M-Z	200	added ('OK')	text/css	etag:W/%2263b297f5-a1be%22	https://prium.github.io/twbs-sparrow/v2.1.1/vendors/loaders.css/loaders.min.css	F:/coding/web_programming/back_end/xampp/htdocs/signup%20sparrow/prium.github.io/twbs-sparrow/v2.1.1/vendors/loaders.css/loaders.min.css	(from https://prium.github.io/twbs-sparrow/v2.1.1/pages/signup.html)
17:10:46	414280/414280	---M-Z	200	added ('OK')	text/css	etag:W/%2263b297f5-65248%22	https://prium.github.io/twbs-sparrow/v2.1.1/assets/css/theme.min.css	F:/coding/web_programming/back_end/xampp/htdocs/signup%20sparrow/prium.github.io/twbs-sparrow/v2.1.1/assets/css/theme.min.css	(from https://prium.github.io/twbs-sparrow/v2.1.1/pages/signup.html)
17:10:46	0/0	---M--	200	added ('OK')	text/css	etag:%2263b297f5-0%22	https://prium.github.io/twbs-sparrow/v2.1.1/assets/css/user.min.css	F:/coding/web_programming/back_end/xampp/htdocs/signup%20sparrow/prium.github.io/twbs-sparrow/v2.1.1/assets/css/user.min.css	(from https://prium.github.io/twbs-sparrow/v2.1.1/pages/signup.html)
17:10:46	19099/19099	---M-Z	200	added ('OK')	text/html	etag:W/%2263b297f5-4a9b%22	https://prium.github.io/twbs-sparrow/v2.1.1/pages/404.html	F:/coding/web_programming/back_end/xampp/htdocs/signup%20sparrow/prium.github.io/twbs-sparrow/v2.1.1/pages/404.html	(from https://prium.github.io/twbs-sparrow/v2.1.1/pages/signup.html)
